ТИК,район,№ УИК,Число избирателей на январь,МН пришли,МН ушли,КОИБ(1)/КЕГ(2),Адрес голосования,location_type,адреса домов,телефон,url,uikpage,Адрес комиссии,phone
1,Адмиралтейский,11,2041,223,174,0,"190121, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Коломна, набережная реки Пряжки, дом 2-4-6, ГБОУ СОШ №235",ГБОУ СОШ №235,"Коломна,Александра Блока улица 10; 10А
 Коломна,Английский проспект 2; 5; 12; 13; 15; 20; 22; 24; 26; 4-6; 7/2; 8/10; 9-11; 17-19
 Коломна,Декабристов улица 49; 51; 57
 Коломна,Мойки реки набережная 126
 Коломна,Перевозная улица 1; 2; 2к2
 Коломна,Писарева улица 5; 1/118
 Коломна,Пряжки реки набережная 5; 18-20
 Коломна,Рабочий переулок 4/8",8(812)7140051,http://www.st-petersburg.vybory.izbirkom.ru/region/st-petersburg?action=show&global=true&root=784001011&tvd=4784001239127&vrn=100100084849062&prver=0&pronetvd=0&region=99&sub_region=99&type=0&vibid=4784001239127,http://www.st-petersburg.vybory.izbirkom.ru/region/st-petersburg?action=ik&vrn=4784001162817,"190068, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Коломна, набережная Крюкова канала, дом 15, ГБОУ СОШ №232",8(812)4173483
1,Адмиралтейский,12,998,105,75,0,"190121, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Коломна, улица Витебская, дом 7, ГБОУ школа №231",ГБОУ школа №231,"Коломна,Витебская улица 10; 12
 Коломна,Мясная улица 18; 20
 Коломна,Псковская улица 5; 7; 9; 16; 20; 22; 11/22
 Коломна,Римского-Корсакова проспект 93; 95; 97; 99; 101; 103; 89-91",8(812)7136731,http://www.st-petersburg.vybory.izbirkom.ru/region/st-petersburg?action=show&global=true&root=784001012&tvd=4784001239128&vrn=100100084849062&prver=0&pronetvd=0&region=99&sub_region=99&type=0&vibid=4784001239128,http://www.st-petersburg.vybory.izbirkom.ru/region/st-petersburg?action=ik&vrn=4784001162853,"190121, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Коломна, улица Союза Печатников, дом 26, ГБОУ СОШ №245",8(812)7140584
1,Адмиралтейский,13,2192,118,184,0,"190121, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Коломна, улица Витебская, дом 7, ГБОУ школа №231",ГБОУ школа №231,"Коломна,Витебская улица 3; 4; 5/6
 Коломна,Володи Ермака улица 2; 17; 19
 Коломна,Декабристов улица 62-64
 Коломна,Дровяной переулок 3; 4; 5; 7; 8; 10; 12; 14; 20; 22
 Коломна,Пряжки реки набережная 28; 34
 Коломна,Псковская улица 3; 6; 8; 1/13; 10-12
 Коломна,Римского-Корсакова проспект 75; 79; 81; 83-85
 Коломна,Союза Печатников улица 29; 30",8(931)3263058,http://www.st-petersburg.vybory.izbirkom.ru/region/st-petersburg?action=show&global=true&root=784001013&tvd=4784001239129&vrn=100100084849062&prver=0&pronetvd=0&region=99&sub_region=99&type=0&vibid=4784001239129,http://www.st-petersburg.vybory.izbirkom.ru/region/st-petersburg?action=ik&vrn=4784001162925,"190121, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Коломна, улица Союза Печатников, дом 26, ГБОУ СОШ №245",8(812)7140584
1,Адмиралтейский,14,2291,311,141,0,"190121, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Коломна, улица Союза Печатников, дом 26, ГБОУ СОШ №245",ГБОУ СОШ №245,"Коломна,Английский проспект 25; 30; 31; 34; 38; 40; 21/60
 Коломна,Декабристов улица 54; 56; 58
 Коломна,Мастерская улица 3; 5
 Коломна,Римского-Корсакова проспект,65/11 (65/11 лит А)
 Коломна,Союза Печатников улица 23; 25А; 26; 27
 Коломна,Союза Печатников улица,28/29 (расселен)",8(812)4173626,http://www.st-petersburg.vybory.izbirkom.ru/region/st-petersburg?action=show&global=true&root=784001014&tvd=4784001239130&vrn=100100084849062&prver=0&pronetvd=0&region=99&sub_region=99&type=0&vibid=4784001239130,http://www.st-petersburg.vybory.izbirkom.ru/region/st-petersburg?action=ik&vrn=4784001162959,"190121, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Коломна, улица Союза Печатников, дом 26, ГБОУ СОШ №245",8(812)4173626
1,Адмиралтейский,15,1739,415,131,0,"190068, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Сенной округ, переулок Бойцова, дом 3, ГБОУ СОШ №229",ГБОУ СОШ №229,"Сенной округ,Большая Подьяческая улица 32; 34; 37
 Сенной округ,Крюкова канала набережная 24
 Сенной округ,Кустарный переулок 4; 2/5
 Сенной округ,Никольский переулок 4; 7
 Сенной округ,Садовая улица 58; 60; 58/26
 Сенной округ,Фонтанки реки набережная 127; 129; 131; 133; 135; 137; 139",8(812)4173244,http://www.st-petersburg.vybory.izbirkom.ru/region/st-petersburg?action=show&global=true&root=784001015&tvd=4784001239131&vrn=100100084849062&prver=0&pronetvd=0&region=99&sub_region=99&type=0&vibid=4784001239131,http://www.st-petersburg.vybory.izbirkom.ru/region/st-petersburg?action=ik&vrn=4784001162997,"190068, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Сенной округ, проспект Римского-Корсакова, дом 4/38, ГБОУ СОШ №241",8(812)4176104
1,Адмиралтейский,16,1955,408,128,0,"190068, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Сенной округ, улица Садовая, дом 52, ГБОУ СОШ №229",ГБОУ СОШ №229,"Сенной округ,Бойцова переулок 4; 6
 Сенной округ,Вознесенский проспект 45; 47; 49; 51; 53; 55
 Сенной округ,Садовая улица 44; 46; 48
 Сенной округ,Фонтанки реки набережная 117; 119; 121; 123/5",8(812)4173309,http://www.st-petersburg.vybory.izbirkom.ru/region/st-petersburg?action=show&global=true&root=784001016&tvd=4784001239132&vrn=100100084849062&prver=0&pronetvd=0&region=99&sub_region=99&type=0&vibid=4784001239132,http://www.st-petersburg.vybory.izbirkom.ru/region/st-petersburg?action=ik&vrn=4784001163033,"190068, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Сенной округ, проспект Римского-Корсакова, дом 4/38, ГБОУ СОШ №241",8(812)4176104
1,Адмиралтейский,17,1932,218,122,0,"190031, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Сенной округ, Московский проспект, дом 9-11, ФГБОУ ВО ""Петербургский государственный университет путей сообщения""",ФГБОУ ВО 'Петербургский государственный университет путей сообщения',"Сенной округ,Бринько переулок 4
 Сенной округ,Ефимова улица 4; 5; 6; 1/4
 Сенной округ,Московский проспект 4; 5; 6; 7; 1/2; 2/6; 10-12
 Сенной округ,Московский проспект,9 (расселен)
 Сенной округ,Садовая улица 42
 Сенной округ,Фонтанки реки набережная 97; 99; 101; 103; 107; 109; 113","8(812)4578520, 8(931)3263059",http://www.st-petersburg.vybory.izbirkom.ru/region/st-petersburg?action=show&global=true&root=784001017&tvd=4784001239133&vrn=100100084849062&prver=0&pronetvd=0&region=99&sub_region=99&type=0&vibid=4784001239133,http://www.st-petersburg.vybory.izbirkom.ru/region/st-petersburg?action=ik&vrn=4784001163057,"190068, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Сенной округ, проспект Римского-Корсакова, дом 4/38, ГБОУ СОШ №241",8(812)4176104
1,Адмиралтейский,18,1739,178,147,0,"190031, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Сенной округ, набережная реки Фонтанки, дом 113, ФГБОУ ВО ""Петербургский государственный университет путей сообщения""",ФГБОУ ВО 'Петербургский государственный университет путей сообщения',"Сенной округ,Гороховая улица 39; 41; 45; 51; 53; 55; 57; 35-37
 Сенной округ,Садовая улица 40
 Сенной округ,Сенная площадь 3; 5
 Сенной округ,Спасский переулок 7; 10; 12; 11/1; 9/24
 Сенной округ,Фонтанки реки набережная 83; 85; 87; 89","8(812)3103061, 8(931)3263092",http://www.st-petersburg.vybory.izbirkom.ru/region/st-petersburg?action=show&global=true&root=784001018&tvd=4784001239134&vrn=100100084849062&prver=0&pronetvd=0&region=99&sub_region=99&type=0&vibid=4784001239134,http://www.st-petersburg.vybory.izbirkom.ru/region/st-petersburg?action=ik&vrn=4784001163081,"190031, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Сенной округ, переулок Гривцова, дом 18, ГБОУ СОШ №243",8(812)4172494
1,Адмиралтейский,19,1706,317,111,0,"190068, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Сенной округ, проспект Римского-Корсакова, дом 4/38, ГБОУ СОШ №241",ГБОУ СОШ №241,"Сенной округ,Вознесенский проспект 34; 36
 Сенной округ,Гражданская улица 24; 26; 28; 18/7; 20-22
 Сенной округ,Грибоедова канала набережная 66; 68; 70; 72; 74
 Сенной округ,Казначейская улица 13; 6/13; 9/11
 Сенной округ,Римского-Корсакова проспект 1; 3
 Сенной округ,Садовая улица 47; 49; 51; 62
 Сенной округ,Столярный переулок 9",8(812)4176104,http://www.st-petersburg.vybory.izbirkom.ru/region/st-petersburg?action=show&global=true&root=784001019&tvd=4784001239135&vrn=100100084849062&prver=0&pronetvd=0&region=99&sub_region=99&type=0&vibid=4784001239135,http://www.st-petersburg.vybory.izbirkom.ru/region/st-petersburg?action=ik&vrn=4784001163117,"190068, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Сенной округ, проспект Римского-Корсакова, дом 4/38, ГБОУ СОШ №241",8(812)4176104
1,Адмиралтейский,20,1769,231,144,0,"190000, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Сенной округ, Казанская улица, дом 27, ГБОУ Вторая Санкт-Петербургская гимназия",ГБОУ Вторая Санкт-Петербургская гимназия,"Сенной округ,Гороховая улица 19; 21; 23; 25; 31; 33; 17/56
 Сенной округ,Грибоедова канала набережная 42
 Сенной округ,Гривцова переулок 6; 8
 Сенной округ,Казанская улица 23; 27; 26/27
 Сенной округ,Мойки реки набережная 60; 62/2
 Сенной округ,Спасский переулок 4; 6-8; 2/44",8(812)3158532,http://www.st-petersburg.vybory.izbirkom.ru/region/st-petersburg?action=show&global=true&root=784001020&tvd=4784001239136&vrn=100100084849062&prver=0&pronetvd=0&region=99&sub_region=99&type=0&vibid=4784001239136,http://www.st-petersburg.vybory.izbirkom.ru/region/st-petersburg?action=ik&vrn=4784001163141,"190031, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Сенной округ, переулок Гривцова, дом 18, ГБОУ СОШ №243",8(812)4172494
1,Адмиралтейский,21,1889,186,113,0,"190031, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Сенной округ, Казанская улица, дом 48, ГБОУ Вторая Санкт-Петербургская гимназия",ГБОУ Вторая Санкт-Петербургская гимназия,"Сенной округ,Антоненко переулок 10
 Сенной округ,Вознесенский проспект 21; 28
 Сенной округ,Гражданская улица 3; 5; 7; 9; 11; 19; 21; 23; 25; 27; 17/8
 Сенной округ,Грибоедова канала набережная 81; 79/23
 Сенной округ,Гривцова переулок 3; 5; 9; 1/64
 Сенной округ,Казанская улица 34; 36; 38; 40; 42; 46; 50; 56; 58; 52/24
 Сенной округ,Столярный переулок 4
 Сенной округ,Фонарный переулок 18",8(931)3263118,http://www.st-petersburg.vybory.izbirkom.ru/region/st-petersburg?action=show&global=true&root=784001021&tvd=4784001239137&vrn=100100084849062&prver=0&pronetvd=0&region=99&sub_region=99&type=0&vibid=4784001239137,http://www.st-petersburg.vybory.izbirkom.ru/region/st-petersburg?action=ik&vrn=4784001163177,"190031, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Сенной округ, улица Гражданская, дом 26, ГБУ ДО Дворец творчества ""У Вознесенского моста"" Адмиралтейского района Санкт-Петербурга",8(812)3124686
1,Адмиралтейский,22,1816,218,115,0,"190031, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Сенной округ, улица Гражданская, дом 26, ГБУ ДО Дворец творчества ""У Вознесенского моста"" Адмиралтейского района Санкт-Петербурга",ГБУ ДО Дворец творчества 'У Вознесенского моста' Адмиралтейского района Санкт-Петербурга,"Сенной округ,Гражданская улица 6; 8; 10; 12; 14; 2-4
 Сенной округ,Грибоедова канала набережная 59; 65-67
 Сенной округ,Гривцова переулок 20; 22; 26; 13/11
 Сенной округ,Казначейская улица 3; 5; 7; 1/61; 2/63; 4/16
 Сенной округ,Сенная площадь 7; 13
 Сенной округ,Спасский переулок 3; 5; 1/46
 Сенной округ,Столярный переулок 10-12; 18/69",8(812)3123650,http://www.st-petersburg.vybory.izbirkom.ru/region/st-petersburg?action=show&global=true&root=784001022&tvd=4784001239138&vrn=100100084849062&prver=0&pronetvd=0&region=99&sub_region=99&type=0&vibid=4784001239138,http://www.st-petersburg.vybory.izbirkom.ru/region/st-petersburg?action=ik&vrn=4784001163201,"190031, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Сенной округ, улица Гражданская, дом 26, ГБУ ДО Дворец творчества ""У Вознесенского моста"" Адмиралтейского района Санкт-Петербурга",8(812)3124686
1,Адмиралтейский,23,1365,130,88,0,"190068, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Адмиралтейский округ, набережная канала Грибоедова, дом 123, ФГАОУВО ""Национальный исследовательский университет ""Высшая школа экономики""",ФГАОУВО 'Национальный исследовательский университет 'Высшая школа экономики',"Адмиралтейский округ,Глинки улица 6; 13
 Адмиралтейский округ,Грибоедова канала набережная 111; 113; 115; 117; 127; 129; 109/8; 119-121
 Адмиралтейский округ,Крюкова канала набережная 14
 Адмиралтейский округ,Никольская площадь 4; 6
 Адмиралтейский округ,Римского-Корсакова проспект 29; 31; 33; 37; 39; 16/2
 Адмиралтейский округ,Театральная площадь 12; 16/11",8(931)3263123,http://www.st-petersburg.vybory.izbirkom.ru/region/st-petersburg?action=show&global=true&root=784001023&tvd=4784001239139&vrn=100100084849062&prver=0&pronetvd=0&region=99&sub_region=99&type=0&vibid=4784001239139,http://www.st-petersburg.vybory.izbirkom.ru/region/st-petersburg?action=ik&vrn=4784001163237,"190068, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Адмиралтейский округ, улица Малая Подьяческая, дом 10, СПб ГКУ ""Жилищное агентство Адмиралтейского района Санкт-Петербурга""",8(812)3103406
1,Адмиралтейский,24,1917,97,168,0,"190068, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Адмиралтейский округ, улица Средняя Подьяческая, дом 1, Межрегиональная общественная организация ""Общество ""Знание"" Санкт-Петербурга и Ленинградской области",Межрегиональная общественная организация 'Общество 'Знание' Санкт-Петербурга и Ленинградской области,"Адмиралтейский округ,Большая Подьяческая улица 10; 12; 14; 16; 21; 22; 23; 24; 25; 29
 Адмиралтейский округ,Вознесенский проспект 31; 33; 35; 39; 41; 37/6
 Адмиралтейский округ,Грибоедова канала набережная 106
 Адмиралтейский округ,Римского-Корсакова проспект 15; 17; 8/18
 Адмиралтейский округ,Садовая улица 59; 61; 65; 67",8(812)3127768,http://www.st-petersburg.vybory.izbirkom.ru/region/st-petersburg?action=show&global=true&root=784001024&tvd=4784001239140&vrn=100100084849062&prver=0&pronetvd=0&region=99&sub_region=99&type=0&vibid=4784001239140,http://www.st-petersburg.vybory.izbirkom.ru/region/st-petersburg?action=ik&vrn=4784001163261,"190068, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Адмиралтейский округ, улица Малая Подьяческая, дом 10, СПб ГКУ ""Жилищное агентство Адмиралтейского района Санкт-Петербурга""",8(812)3103406
1,Адмиралтейский,25,2062,365,154,0,"190068, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Адмиралтейский округ, улица Средняя Подьяческая, дом 1, Межрегиональная общественная организация ""Общество ""Знание"" Санкт-Петербурга и Ленинградской области",Межрегиональная общественная организация 'Общество 'Знание' Санкт-Петербурга и Ленинградской области,"Адмиралтейский округ,Большая Подьяческая улица 4; 5; 6; 7; 8; 9; 1-3; 13; 17
 Адмиралтейский округ,Вознесенский проспект 25; 29
 Адмиралтейский округ,Грибоедова канала набережная 80; 82; 86; 94; 96; 102
 Адмиралтейский округ,Малая Подьяческая улица 3; 4; 6; 8; 10; 12-14
 Адмиралтейский округ,Средняя Подьяческая улица 1; 3; 5; 6; 7; 9; 10; 11; 12; 13; 15; 16",8(931)3263124,http://www.st-petersburg.vybory.izbirkom.ru/region/st-petersburg?action=show&global=true&root=784001025&tvd=4784001239141&vrn=100100084849062&prver=0&pronetvd=0&region=99&sub_region=99&type=0&vibid=4784001239141,http://www.st-petersburg.vybory.izbirkom.ru/region/st-petersburg?action=ik&vrn=4784001163285,"190068, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Адмиралтейский округ, улица Малая Подьяческая, дом 10, СПб ГКУ ""Жилищное агентство Адмиралтейского района Санкт-Петербурга""",8(812)3103406
