tik,uik,turnout,stationary,putin,koib,cam,marked,gaps
13 Кировская,557,65%,1619,80%,,c1,yes,"20, 45"
13 Кировская,557,65%,1619,80%,,c2,yes,"19, 47"
6 Выборгская,350,83%,1605,85%,,,,missing
25 Сосновоборская городская,944,69%,1605,75%,КОИБ,c1,yes,"20, 45"
25 Сосновоборская городская,944,69%,1605,75%,КОИБ,c2,yes,"22, 2, 44"
7 Гатчинская,398,68%,1603,80%,,c1,yes,"18, 35"
7 Гатчинская,398,68%,1603,80%,,c2,,"10, 43"
13 Кировская,572,60%,1603,78%,,c1,,"21, 46, 68"
13 Кировская,572,60%,1603,78%,,c2,yes,"47, 63"
5 Всеволожская,125,74%,1590,76%,,,,missing
5 Всеволожская,230,61%,1599,76%,,,,missing
11 Кингисеппская,492,69%,1594,78%,,c1,,"10, 36"
11 Кингисеппская,492,69%,1594,78%,,c2,yes,"7, 36"
7 Гатчинская,397,74%,1581,76%,,c1,,"19, 41"
7 Гатчинская,397,74%,1581,76%,,c2,yes,"21, 47"
1 Бокситогорская,1,71%,1582,80%,,c1,yes,"11, 37"
1 Бокситогорская,1,71%,1582,80%,,c2,,"6, 38"
1 Бокситогорская,4,73%,1571,76%,,c1,yes,"8, 41"
1 Бокситогорская,4,73%,1571,76%,,c2,yes,"6, 35"
5 Всеволожская,119,78%,1568,90%,,c1,yes,
5 Всеволожская,119,78%,1568,90%,,c2,yes,
13 Кировская,578,81%,1550,85%,,,,missing
1 Бокситогорская,6,71%,1548,78%,,c1,yes,"22, 41"
1 Бокситогорская,6,71%,1548,78%,,c2,,"22, 36"
25 Сосновоборская городская,940,69%,1548,75%,КОИБ,c1,yes,"20, 43"
25 Сосновоборская городская,940,69%,1548,75%,КОИБ,c2,yes,"20, 40"
13 Кировская,570,66%,1544,80%,,c1,,42
13 Кировская,570,66%,1544,80%,,c2,yes,37
13 Кировская,568,64%,1545,78%,,c1,yes,"21, 42"
13 Кировская,568,64%,1545,78%,,c2,yes,"20, 43"
12 Киришская,520,68%,1539,76%,КОИБ,c1,yes,"11, 35"
12 Киришская,520,68%,1539,76%,КОИБ,c2,yes,"5, 36"
5 Всеволожская,219,62%,1532,75%,КОИБ,c1,yes,41
5 Всеволожская,219,62%,1532,75%,КОИБ,c2,yes,"11, 38"
27 Тосненская,924,75%,1527,73%,,c1,yes,"20, 35"
27 Тосненская,924,75%,1527,73%,,c2,yes,"21, 40"
5 Всеволожская,227,70%,1523,77%,,c1,,"20, 36"
5 Всеволожская,227,70%,1523,77%,,c2,yes,"7, 36"
21 Приозерская,757,63%,1527,77%,,c1,yes,"21, 40"
21 Приозерская,757,63%,1527,77%,,c2,,"21, 54"
21 Приозерская,760,61%,1523,76%,,c1,,"2, 38"
21 Приозерская,760,61%,1523,76%,,c2,yes,"20, 36"
21 Приозерская,761,61%,1526,78%,,c1,yes,"20, 41"
21 Приозерская,761,61%,1526,78%,,c2,yes,"5, 37"
3 Волховская,96,83%,1511,86%,,,,missing
12 Киришская,515,69%,1516,78%,КОИБ,c1,yes,"18, 44"
12 Киришская,515,69%,1516,78%,КОИБ,c2,yes,"20, 44"
25 Сосновоборская городская,931,66%,1518,76%,КОИБ,c1,yes,"8, 11, 8, 41, 8, 8, 8, 8, 8, 10, 74, 9, 8, 235, 5236, 40"
25 Сосновоборская городская,931,66%,1518,76%,КОИБ,c2,yes,"8, 8, 8, 79, 8, 8, 11, 8, 8, 8, 76, 9, 9, 202, 5182, 36"
7 Гатчинская,399,62%,1512,80%,,c1,yes,36
7 Гатчинская,399,62%,1512,80%,,c2,yes,"11, 37"
5 Всеволожская,204,60%,1490,76%,,,,missing
25 Сосновоборская городская,941,67%,1495,77%,КОИБ,c1,yes,"19, 46"
25 Сосновоборская городская,941,67%,1495,77%,КОИБ,c2,yes,20
5 Всеволожская,225,66%,1491,73%,,c1,,"5, 35"
5 Всеволожская,225,66%,1491,73%,,c2,,"2, 45"
5 Всеволожская,135,79%,1488,78%,,,,missing
12 Киришская,529,69%,1482,75%,КОИБ,c1,yes,"21, 37"
12 Киришская,529,69%,1482,75%,КОИБ,c2,yes,"21, 36"
5 Всеволожская,120,63%,1488,78%,,c1,yes,275
5 Всеволожская,120,63%,1488,78%,,c2,yes,"8, 283"
27 Тосненская,878,79%,1475,80%,,c1,yes,35
27 Тосненская,878,79%,1475,80%,,c2,yes,"21, 38"
26 Тихвинская,840,73%,1475,81%,,c1,,"26, 46"
26 Тихвинская,840,73%,1475,81%,,c2,yes,"20, 46"
5 Всеволожская,209,55%,1478,78%,КОИБ,c1,,"19, 46"
5 Всеволожская,209,55%,1478,78%,КОИБ,c2,yes,"20, 39"
27 Тосненская,920,99%,1468,90%,,c1,yes,"21, 36"
27 Тосненская,920,99%,1468,90%,,c2,yes,"20, 35"
17 Лужская,694,81%,1463,83%,,c1,,40
17 Лужская,694,81%,1463,83%,,c2,yes,"10, 35"
12 Киришская,523,68%,1461,75%,КОИБ,c1,yes,"11, 35"
12 Киришская,523,68%,1461,75%,КОИБ,c2,yes,"26, 3, 42"
13 Кировская,553,62%,1461,79%,КОИБ,c1,yes,106
13 Кировская,553,62%,1461,79%,КОИБ,c2,yes,123
5 Всеволожская,221,58%,1456,72%,,c1,yes,"21, 42"
5 Всеволожская,221,58%,1456,72%,,c2,yes,"21, 45"
25 Сосновоборская городская,980,93%,1449,61%,,,,missing
5 Всеволожская,203,51%,1446,73%,,,,missing
27 Тосненская,904,85%,1443,81%,,c1,,"22, 38"
27 Тосненская,904,85%,1443,81%,,c2,yes,"21, 39"
26 Тихвинская,829,67%,1449,88%,,c1,yes,"20, 35"
26 Тихвинская,829,67%,1449,88%,,c2,yes,"19, 41"
3 Волховская,79,66%,1442,79%,,c1,yes,"20, 40"
3 Волховская,79,66%,1442,79%,,c2,,"21, 40"
7 Гатчинская,396,64%,1442,78%,,c1,yes,"21, 36"
7 Гатчинская,396,64%,1442,78%,,c2,,"19, 35"
5 Всеволожская,954,57%,1449,65%,,c1,yes,
5 Всеволожская,954,57%,1449,65%,,c2,yes,
16 Ломоносовская,638,62%,1430,78%,,,,missing
6 Выборгская,348,82%,1432,82%,,c1,yes,"23, 38"
6 Выборгская,348,82%,1432,82%,,c2,yes,"20, 41"
27 Тосненская,870,75%,1438,77%,,c1,yes,"20, 42"
27 Тосненская,870,75%,1438,77%,,c2,yes,"19, 37"
26 Тихвинская,842,74%,1430,80%,,c1,,"19, 38"
26 Тихвинская,842,74%,1430,80%,,c2,,"20, 36"
5 Всеволожская,212,60%,1431,76%,КОИБ,c1,yes,"20, 37"
5 Всеволожская,212,60%,1431,76%,КОИБ,c2,yes,"21, 43"
25 Сосновоборская городская,935,69%,1411,79%,КОИБ,c1,yes,"30, 54"
25 Сосновоборская городская,935,69%,1411,79%,КОИБ,c2,yes,"20, 47"
26 Тихвинская,825,63%,1414,80%,,c1,yes,"19, 42"
26 Тихвинская,825,63%,1414,80%,,c2,yes,"20, 46"
27 Тосненская,871,62%,1402,79%,КОИБ,c1,yes,
27 Тосненская,871,62%,1402,79%,КОИБ,c2,yes,"6, 36"
5 Всеволожская,124,61%,1403,81%,,c1,yes,19
5 Всеволожская,124,61%,1403,81%,,c2,yes,2
3 Волховская,67,60%,1404,78%,,c1,yes,"21, 39"
3 Волховская,67,60%,1404,78%,,c2,,"20, 42"
6 Выборгская,284,57%,1405,81%,,c1,yes,"22, 35"
6 Выборгская,284,57%,1405,81%,,c2,yes,"19, 2, 41"
26 Тихвинская,830,73%,1390,82%,,c1,yes,36
26 Тихвинская,830,73%,1390,82%,,c2,,"7, 36"
26 Тихвинская,841,73%,1392,80%,,c1,,"21, 40"
26 Тихвинская,841,73%,1392,80%,,c2,,"3, 37"
1 Бокситогорская,13,72%,1397,80%,,c1,yes,"19, 36"
1 Бокситогорская,13,72%,1397,80%,,c2,,"20, 40"
12 Киришская,526,69%,1395,76%,КОИБ,c1,yes,"5, 40"
12 Киришская,526,69%,1395,76%,КОИБ,c2,yes,"21, 36"
5 Всеволожская,190,69%,1396,82%,,c1,yes,"14, 35, 13051"
5 Всеволожская,190,69%,1396,82%,,c2,yes,
26 Тихвинская,836,76%,1384,82%,,c1,yes,44
26 Тихвинская,836,76%,1384,82%,,c2,,"21, 42"
5 Всеволожская,132,75%,1387,85%,,c1,yes,"2, 36"
5 Всеволожская,132,75%,1387,85%,,c2,yes,
25 Сосновоборская городская,950,69%,1380,74%,КОИБ,c1,yes,"21, 38"
25 Сосновоборская городская,950,69%,1380,74%,КОИБ,c2,yes,"21, 37"
12 Киришская,522,68%,1375,77%,КОИБ,c1,yes,43
12 Киришская,522,68%,1375,77%,КОИБ,c2,yes,48
26 Тихвинская,828,67%,1371,78%,,c1,,"2, 42"
26 Тихвинская,828,67%,1371,78%,,c2,yes,"20, 37"
7 Гатчинская,376,64%,1373,76%,,c1,,"19, 3, 44"
7 Гатчинская,376,64%,1373,76%,,c2,yes,"2, 45"
3 Волховская,73,64%,1379,76%,,c1,yes,"22, 40"
3 Волховская,73,64%,1379,76%,,c2,yes,"21, 35"
6 Выборгская,317,64%,1379,80%,,c1,,"21, 47"
6 Выборгская,317,64%,1379,80%,,c2,yes,"20, 45"
6 Выборгская,235,55%,1379,77%,,c1,yes,"20, 47"
6 Выборгская,235,55%,1379,77%,,c2,,"21, 47"
16 Ломоносовская,659,72%,1365,83%,,,,missing
5 Всеволожская,185,78%,1368,81%,,c1,yes,"15, 46"
5 Всеволожская,185,78%,1368,81%,,c2,,"17, 40"
1 Бокситогорская,14,71%,1363,80%,,c1,yes,"20, 41"
1 Бокситогорская,14,71%,1363,80%,,c2,,"20, 43"
11 Кингисеппская,491,69%,1355,76%,,c1,yes,"4, 35"
11 Кингисеппская,491,69%,1355,76%,,c2,yes,"20, 36"
7 Гатчинская,370,61%,1356,75%,,c1,yes,"19, 36"
7 Гатчинская,370,61%,1356,75%,,c2,,"6, 36"
12 Киришская,534,61%,1358,74%,КОИБ,c1,yes,"6, 36"
12 Киришская,534,61%,1358,74%,КОИБ,c2,yes,"10, 43, 3"
27 Тосненская,923,58%,1357,81%,,c1,yes,"25, 38"
27 Тосненская,923,58%,1357,81%,,c2,yes,41
5 Всеволожская,148,85%,1348,79%,,,,missing
26 Тихвинская,843,70%,1345,80%,,c1,yes,"20, 45"
26 Тихвинская,843,70%,1345,80%,,c2,yes,"21, 41"
26 Тихвинская,838,68%,1340,79%,,c1,yes,"5, 36"
26 Тихвинская,838,68%,1340,79%,,c2,yes,"5, 36"
25 Сосновоборская городская,934,63%,1346,75%,КОИБ,c1,yes,"21, 36"
25 Сосновоборская городская,934,63%,1346,75%,КОИБ,c2,yes,"22, 35"
7 Гатчинская,404,86%,1330,86%,,c1,yes,
7 Гатчинская,404,86%,1330,86%,,c2,,
11 Кингисеппская,512,77%,1336,75%,,c1,yes,"3, 41"
11 Кингисеппская,512,77%,1336,75%,,c2,yes,17
5 Всеволожская,159,83%,1327,88%,,,,missing
27 Тосненская,883,83%,1326,84%,,c1,,37
27 Тосненская,883,83%,1326,84%,,c2,yes,"5, 44"
7 Гатчинская,366,68%,1323,77%,,c1,yes,"21, 43"
7 Гатчинская,366,68%,1323,77%,,c2,,"21, 38"
12 Киришская,525,68%,1318,73%,КОИБ,c1,,"20, 40"
12 Киришская,525,68%,1318,73%,КОИБ,c2,yes,"19, 43"
1 Бокситогорская,11,67%,1313,80%,,c1,yes,"20, 45"
1 Бокситогорская,11,67%,1313,80%,,c2,,"21, 36"
26 Тихвинская,837,67%,1313,82%,,c1,yes,"15, 46"
26 Тихвинская,837,67%,1313,82%,,c2,yes,46
5 Всеволожская,218,62%,1316,76%,КОИБ,c1,yes,42
5 Всеволожская,218,62%,1316,76%,КОИБ,c2,yes,"21, 40"
7 Гатчинская,423,60%,1311,79%,,c1,yes,"4, 35"
7 Гатчинская,423,60%,1311,79%,,c2,,"21, 35"
16 Ломоносовская,636,65%,1307,78%,,,,missing
26 Тихвинская,831,73%,1309,77%,,c1,yes,"23, 47"
26 Тихвинская,831,73%,1309,77%,,c2,,"21, 47"
1 Бокситогорская,10,69%,1304,78%,,c1,,"7, 35"
1 Бокситогорская,10,69%,1304,78%,,c2,yes,"19, 36"
7 Гатчинская,383,69%,1303,80%,,c1,,"21, 46"
7 Гатчинская,383,69%,1303,80%,,c2,yes,"20, 40"
26 Тихвинская,839,69%,1303,79%,,c1,yes,"6, 39"
26 Тихвинская,839,69%,1303,79%,,c2,,"17, 36"
12 Киришская,518,67%,1304,76%,КОИБ,c1,,"20, 35"
12 Киришская,518,67%,1304,76%,КОИБ,c2,yes,"20, 35"
12 Киришская,533,67%,1302,76%,КОИБ,c1,yes,"4, 35"
12 Киришская,533,67%,1302,76%,КОИБ,c2,yes,"16, 37"
7 Гатчинская,455,65%,1300,78%,,c1,yes,"21, 48"
7 Гатчинская,455,65%,1300,78%,,c2,yes,"21, 46"
5 Всеволожская,231,57%,1301,76%,,c1,yes,"21, 77, 44"
5 Всеволожская,231,57%,1301,76%,,c2,yes,"23, 36"
5 Всеволожская,129,67%,1293,78%,,,,missing
1 Бокситогорская,9,69%,1296,79%,,c1,,"19, 45"
1 Бокситогорская,9,69%,1296,79%,,c2,,"20, 41"
1 Бокситогорская,15,68%,1293,81%,,c1,yes,"18, 36"
1 Бокситогорская,15,68%,1293,81%,,c2,yes,"21, 40"
7 Гатчинская,368,67%,1297,75%,,c1,yes,"23, 43"
7 Гатчинская,368,67%,1297,75%,,c2,,"21, 36"
5 Всеволожская,210,61%,1290,79%,КОИБ,c1,,"21, 37, 41, 43"
5 Всеволожская,210,61%,1290,79%,КОИБ,c2,yes,"20, 36, 101, 45"
5 Всеволожская,215,55%,1291,78%,КОИБ,c1,,
5 Всеволожская,215,55%,1291,78%,КОИБ,c2,yes,"10, 36"
7 Гатчинская,407,90%,1280,89%,,c1,,
7 Гатчинская,407,90%,1280,89%,,c2,yes,
11 Кингисеппская,513,79%,1285,77%,,c1,yes,"6, 36"
11 Кингисеппская,513,79%,1285,77%,,c2,yes,"2, 36"
26 Тихвинская,827,65%,1281,78%,,c1,,"20, 36"
26 Тихвинская,827,65%,1281,78%,,c2,yes,"19, 42"
7 Гатчинская,379,60%,1285,77%,,c1,,"19, 40"
7 Гатчинская,379,60%,1285,77%,,c2,yes,35
3 Волховская,72,56%,1289,79%,,c1,,"19, 38"
3 Волховская,72,56%,1289,79%,,c2,,"22, 35"
11 Кингисеппская,501,65%,1273,79%,,,,missing
5 Всеволожская,966,52%,1275,74%,,,,missing
7 Гатчинская,409,87%,1272,87%,,c1,,
7 Гатчинская,409,87%,1272,87%,,c2,yes,
26 Тихвинская,832,71%,1271,78%,,c1,yes,"21, 42"
26 Тихвинская,832,71%,1271,78%,,c2,,"20, 42"
11 Кингисеппская,479,65%,1278,74%,,c1,yes,46
11 Кингисеппская,479,65%,1278,74%,,c2,yes,"5, 41"
5 Всеволожская,226,65%,1270,75%,,c1,yes,"18, 35"
5 Всеволожская,226,65%,1270,75%,,c2,,"20, 36"
15 Лодейнопольская,597,62%,1278,79%,,c1,yes,"136, 59, 69, 53, 57"
15 Лодейнопольская,597,62%,1278,79%,,c2,yes,"135, 58, 55, 61, 53"
6 Выборгская,242,60%,1273,71%,,c1,yes,"7, 40"
6 Выборгская,242,60%,1273,71%,,c2,yes,"21, 35"
5 Всеволожская,156,67%,1264,79%,,,,missing
13 Кировская,579,64%,1268,81%,,,,missing
2 Волосовская,35,62%,1260,81%,,c1,yes,"28, 47"
2 Волосовская,35,62%,1260,81%,,c2,,"21, 45"
5 Всеволожская,123,60%,1265,79%,,c1,yes,21
5 Всеволожская,123,60%,1265,79%,,c2,yes,20
6 Выборгская,286,59%,1260,81%,,c1,yes,"21, 54"
6 Выборгская,286,59%,1260,81%,,c2,,"21, 40"
5 Всеволожская,213,58%,1265,79%,КОИБ,c1,,"20, 38"
5 Всеволожская,213,58%,1265,79%,КОИБ,c2,yes,"21, 38"
12 Киришская,521,66%,1256,78%,КОИБ,c1,yes,"5, 36"
12 Киришская,521,66%,1256,78%,КОИБ,c2,yes,"20, 35"
2 Волосовская,36,66%,1256,77%,,c1,,
2 Волосовская,36,66%,1256,77%,,c2,yes,
13 Кировская,549,65%,1256,80%,КОИБ,c1,yes,"22, 37"
13 Кировская,549,65%,1256,80%,КОИБ,c2,yes,"23, 36"
12 Киришская,528,64%,1255,75%,КОИБ,c1,yes,"20, 48"
12 Киришская,528,64%,1255,75%,КОИБ,c2,yes,"19, 42"
7 Гатчинская,375,62%,1252,76%,,c1,,"20, 44"
7 Гатчинская,375,62%,1252,76%,,c2,yes,41
12 Киришская,532,61%,1251,76%,КОИБ,c1,yes,36
12 Киришская,532,61%,1251,76%,КОИБ,c2,yes,"4, 35"
5 Всеволожская,214,61%,1254,78%,КОИБ,c1,,36
5 Всеволожская,214,61%,1254,78%,КОИБ,c2,yes,"21, 36"
27 Тосненская,881,56%,1253,77%,,c1,yes,"5, 42"
27 Тосненская,881,56%,1253,77%,,c2,yes,
17 Лужская,698,71%,1247,80%,,,,missing
5 Всеволожская,965,66%,1248,75%,,,,missing
7 Гатчинская,433,66%,1248,79%,,,,missing
13 Кировская,559,63%,1244,78%,,,,missing
11 Кингисеппская,511,82%,1240,78%,,c1,yes,"20, 46"
11 Кингисеппская,511,82%,1240,78%,,c2,yes,"20, 36"
17 Лужская,705,76%,1247,83%,,c1,yes,"5, 35"
17 Лужская,705,76%,1247,83%,,c2,,
13 Кировская,546,58%,1245,78%,КОИБ,c1,yes,39
13 Кировская,546,58%,1245,78%,КОИБ,c2,yes,36
5 Всеволожская,126,56%,1245,79%,,c1,yes,5
5 Всеволожская,126,56%,1245,79%,,c2,yes,
2 Волосовская,40,80%,1238,89%,,,,missing
5 Всеволожская,162,66%,1235,78%,,,,missing
15 Лодейнопольская,596,64%,1233,76%,,c1,yes,"21, 44"
15 Лодейнопольская,596,64%,1233,76%,,c2,yes,"20, 39"
13 Кировская,550,63%,1235,79%,КОИБ,c1,,"22, 46"
13 Кировская,550,63%,1235,79%,КОИБ,c2,,"21, 36"
13 Кировская,552,60%,1237,80%,КОИБ,c1,yes,"20, 51, 44"
13 Кировская,552,60%,1237,80%,КОИБ,c2,yes,"22, 3, 50, 37"
6 Выборгская,285,59%,1230,82%,,c1,yes,"5, 40"
6 Выборгская,285,59%,1230,82%,,c2,,"4, 44"
11 Кингисеппская,507,75%,1227,82%,,,,missing
6 Выборгская,298,93%,1228,87%,,c1,yes,"19, 45"
6 Выборгская,298,93%,1228,87%,,c2,yes,"21, 44"
15 Лодейнопольская,604,77%,1221,73%,,c1,yes,"23, 44, 28, 34, 31, 46, 35"
15 Лодейнопольская,604,77%,1221,73%,,c2,,36
5 Всеволожская,191,74%,1226,86%,,c1,yes,"20, 36, 12822"
5 Всеволожская,191,74%,1226,86%,,c2,yes,"20, 43, 12812"
26 Тихвинская,835,66%,1229,79%,,c1,,"21, 44"
26 Тихвинская,835,66%,1229,79%,,c2,,"20, 36"
3 Волховская,76,64%,1226,80%,,c1,yes,"22, 42"
3 Волховская,76,64%,1226,80%,,c2,yes,"21, 46"
12 Киришская,530,63%,1223,77%,КОИБ,c1,yes,"20, 54"
12 Киришская,530,63%,1223,77%,КОИБ,c2,yes,"20, 19, 6, 45"
25 Сосновоборская городская,933,58%,1226,73%,КОИБ,c1,,"20, 295, 45"
25 Сосновоборская городская,933,58%,1226,73%,КОИБ,c2,yes,"22, 272, 42"
5 Всеволожская,211,56%,1226,78%,КОИБ,c1,,"17, 43"
5 Всеволожская,211,56%,1226,78%,КОИБ,c2,yes,"22, 35"
2 Волосовская,41,83%,1210,88%,,,,missing
5 Всеволожская,955,61%,1210,75%,,,,missing
27 Тосненская,921,75%,1213,76%,,c1,yes,"19, 50"
27 Тосненская,921,75%,1213,76%,,c2,yes,"6, 39"
6 Выборгская,273,67%,1211,73%,,c1,yes,35
6 Выборгская,273,67%,1211,73%,,c2,,"15, 44"
7 Гатчинская,446,66%,1215,78%,,c1,yes,"21, 52"
7 Гатчинская,446,66%,1215,78%,,c2,yes,"22, 36"
3 Волховская,65,64%,1211,77%,,c1,yes,"21, 143, 137, 119, 140, 91, 96, 125, 87"
3 Волховская,65,64%,1211,77%,,c2,,"22, 121, 130, 128, 89, 95, 120, 102, 96"
27 Тосненская,876,62%,1213,79%,КОИБ,c1,yes,
27 Тосненская,876,62%,1213,79%,КОИБ,c2,yes,"19, 37"
5 Всеволожская,117,62%,1211,82%,,c1,yes,
5 Всеволожская,117,62%,1211,82%,,c2,yes,
